project,model,run_id,status,psnr_diff,ssim_diff,lpips_diff,psnr_model,psnr_base,ssim_model,ssim_base,lpips_model,lpips_base,loss_diff,gaussian_diff,time_diff_s,geometry_lr_mult,appearance_lr_mult,densification_mult
12-Maisonneuve Market,model_mlp_20260710_205501_final_offline_data_june_27-training-data-mlp,12_maisonneuve_market_phase2_run1_27-training-_20260711_053035,success,-0.1902027130126953,0.0007781982421875,0.000543057918548584,16.908058166503906,17.0982608795166,0.6540319919586182,0.6532537937164307,0.47341352701187134,0.4739565849304199,0.007098428905010223,-78583,26.462745428085327,1.6478653521134985,1.0570667535447724,1.43
4-Thomas-More-Church,model_mlp_20260710_205501_final_offline_data_june_27-training-data-mlp,4_thomas_more_church_phase2_run1_27-training-_20260711_060729,success,0.07375717163085938,0.006300449371337891,0.009721517562866211,21.941198348999023,21.867441177368164,0.786413848400116,0.7801133990287781,0.29227325320243835,0.30199477076530457,-0.021105274558067322,-181032,266.176598072052,1.8413084522120124,1.0570667535447724,1.43
Brasov,model_mlp_20260710_205501_final_offline_data_june_27-training-data-mlp,brasov_phase2_run1_27-training-_20260711_062633,success,0.06997871398925781,0.01336437463760376,0.025291800498962402,23.432212829589844,23.362234115600586,0.8156480193138123,0.8022836446762085,0.16725073754787445,0.19254253804683685,0.0022185854613780975,-443111,-4.515262603759766,2.057459859714241,1.0570667535447724,1.43
Changu,model_mlp_20260710_205501_final_offline_data_june_27-training-data-mlp,changu_phase2_run1_27-training-_20260711_065231,success,0.16617584228515625,-0.003004312515258789,0.004892706871032715,20.146528244018555,19.9803524017334,0.6190997362136841,0.6221040487289429,0.5132453441619873,0.51813805103302,0.004266880452632904,-163161,-38.73522400856018,1.6478653521134985,1.0570667535447724,1.43
Chatteau_circle_60_and_45_degrees,model_mlp_20260710_205501_final_offline_data_june_27-training-data-mlp,chatteau_circle_60_and_45_degrees_phase2_run1_27-training-_20260711_071351,success,-0.010766983032226562,0.0002912282943725586,-0.016406774520874023,23.364660263061523,23.37542724609375,0.567764163017273,0.5674729347229004,0.465678334236145,0.449271559715271,0.0070570483803749084,-144948,-15.733391046524048,2.057459859714241,1.0570667535447724,1.43
DJI_202402171501_006_KTM20-oblique,model_mlp_20260710_205501_final_offline_data_june_27-training-data-mlp,dji_202402171501_006_ktm20_oblique_phase2_run1_27-training-_20260711_072657,success,0.02095794677734375,0.0054552555084228516,0.01966908574104309,22.692419052124023,22.67146110534668,0.7504027485847473,0.7449474930763245,0.2893849313259125,0.30905401706695557,0.0004953145980834961,-796219,-124.10193514823914,2.057459859714241,1.0570667535447724,1.43
Kninice_Church_of_the_Exaltation_of_the_Holy_Cross,model_mlp_20260710_205501_final_offline_data_june_27-training-data-mlp,kninice_church_of_the_exaltation_of_the_holy_cross_phase2_run1_27-training-_20260711_074841,success,-0.2532463073730469,-0.002070784568786621,-0.008533507585525513,20.689714431762695,20.942960739135742,0.68047034740448,0.6825411319732666,0.4620847702026367,0.4535512626171112,0.008198931813240051,-102683,-20.537736892700195,1.4747448834191743,1.0570667535447724,1.43
Pix4d_forensic,model_mlp_20260710_205501_final_offline_data_june_27-training-data-mlp,pix4d_forensic_phase2_run1_27-training-_20260711_080205,success,0.16356468200683594,-6.097555160522461e-05,0.0021889209747314453,24.0831241607666,23.919559478759766,0.5210085511207581,0.5210695266723633,0.6467832326889038,0.6489721536636353,0.004739254713058472,-98631,-5.186903715133667,1.4747448834191743,1.0570667535447724,1.43
12-Maisonneuve Market,model_ridge_20260710_203218_final_offline_data_june_27-training-data-ridge,12_maisonneuve_market_phase2_run1_27-training-_20260711_084953,success,0.25481414794921875,0.006205558776855469,0.014316320419311523,17.35307502746582,17.0982608795166,0.6594593524932861,0.6532537937164307,0.4596402645111084,0.4739565849304199,0.010043047368526459,-64868,105.21599555015564,1.8413084812479656,1.181155952824815,1.4299999938913033
4-Thomas-More-Church,model_ridge_20260710_203218_final_offline_data_june_27-training-data-ridge,4_thomas_more_church_phase2_run1_27-training-_20260711_090613,success,-0.1627826690673828,0.0043236613273620605,0.011743307113647461,21.70465850830078,21.867441177368164,0.7844370603561401,0.7801133990287781,0.2902514636516571,0.30199477076530457,-0.019329965114593506,-113878,23.717154026031494,1.8413084812479656,1.181155952824815,1.4299999938913033
Brasov,model_ridge_20260710_203218_final_offline_data_june_27-training-data-ridge,brasov_phase2_run1_27-training-_20260711_092506,success,0.0023403167724609375,0.015386641025543213,0.030904456973075867,23.364574432373047,23.362234115600586,0.8176702857017517,0.8022836446762085,0.161638081073761,0.19254253804683685,0.0011165551841259003,-336263,-36.99301743507385,2.568863543154017,1.0570667549471469,1.4299999938913033
Changu,model_ridge_20260710_203218_final_offline_data_june_27-training-data-ridge,changu_phase2_run1_27-training-_20260711_094548,success,-0.0524749755859375,-0.006169259548187256,0.005747616291046143,19.92787742614746,19.9803524017334,0.6159347891807556,0.6221040487289429,0.5123904347419739,0.51813805103302,0.023544803261756897,-129777,-60.77346992492676,2.0574599129471225,1.181155952824815,1.4299999938913033
Chatteau_circle_60_and_45_degrees,model_ridge_20260710_203218_final_offline_data_june_27-training-data-ridge,chatteau_circle_60_and_45_degrees_phase2_run1_27-training-_20260711_100208,success,0.09874534606933594,0.01584261655807495,0.017776399850845337,23.474172592163086,23.37542724609375,0.5833155512809753,0.5674729347229004,0.43149515986442566,0.449271559715271,0.007078811526298523,-62547,-7.1667845249176025,2.2989853881058138,1.181155952824815,1.4299999938913033
DJI_202402171501_006_KTM20-oblique,model_ridge_20260710_203218_final_offline_data_june_27-training-data-ridge,dji_202402171501_006_ktm20_oblique_phase2_run1_27-training-_20260711_101114,success,-0.23094558715820312,-0.0028249025344848633,0.018191277980804443,22.440515518188477,22.67146110534668,0.7421225905418396,0.7449474930763245,0.2908627390861511,0.30905401706695557,0.0036203861236572266,-907199,-250.39823722839355,2.8704227540887186,1.0570667549471469,1.4299999938913033
Kninice_Church_of_the_Exaltation_of_the_Holy_Cross,model_ridge_20260710_203218_final_offline_data_june_27-training-data-ridge,kninice_church_of_the_exaltation_of_the_holy_cross_phase2_run1_27-training-_20260711_102639,success,-0.3582439422607422,0.0030229687690734863,0.001093059778213501,20.584716796875,20.942960739135742,0.6855641007423401,0.6825411319732666,0.4524582028388977,0.4535512626171112,0.014364689588546753,-76413,-21.9592182636261,1.8413084812479656,1.181155952824815,1.4299999938913033
Pix4d_forensic,model_ridge_20260710_203218_final_offline_data_june_27-training-data-ridge,pix4d_forensic_phase2_run1_27-training-_20260711_103531,success,0.40448951721191406,0.03312218189239502,0.05737745761871338,24.32404899597168,23.919559478759766,0.5541917085647583,0.5210695266723633,0.5915946960449219,0.6489721536636353,0.007009714841842651,16235,-7.3476645946502686,2.2989853881058138,1.181155952824815,1.4299999938913033
Telc_sv_Jakub_March_18,model_mlp_20260710_205501_final_offline_data_june_27-training-data-mlp,telc_sv_jakub_march_18_phase2_run1_27-training-_20260711_104508,success,-0.1556072235107422,0.0016349554061889648,0.007165104150772095,20.983413696289062,21.139020919799805,0.7091124057769775,0.7074774503707886,0.4246748089790344,0.4318399131298065,0.0008544884622097015,-258966,-34.43240141868591,1.8413084522120124,1.0570667535447724,1.43
Telc_sv_Jakub_March_18,model_ridge_20260710_203218_final_offline_data_june_27-training-data-ridge,telc_sv_jakub_march_18_phase2_run1_27-training-_20260711_105514,success,-0.058368682861328125,0.008118033409118652,0.01849311590194702,21.080652236938477,21.139020919799805,0.7155954837799072,0.7074774503707886,0.4133467972278595,0.4318399131298065,0.0039086900651454926,-171661,-47.002663373947144,2.0574599129471225,1.181155952824815,1.4299999938913033
Tiburon_Angel_Islands_State_Park_Split_group_3,model_mlp_20260710_205501_final_offline_data_june_27-training-data-mlp,tiburon_angel_islands_state_park_split_group_3_phase2_run1_27-training-_20260711_110507,success,-0.09210777282714844,-0.0030249357223510742,0.012630224227905273,20.09858512878418,20.190692901611328,0.6347151398658752,0.6377400755882263,0.5017575621604919,0.5143877863883972,0.0037154853343963623,-317716,-72.00323534011841,2.2989854424253777,1.0570667535447724,1.43
Tiburon_Angel_Islands_State_Park_Split_group_3,model_ridge_20260710_203218_final_offline_data_june_27-training-data-ridge,tiburon_angel_islands_state_park_split_group_3_phase2_run1_27-training-_20260711_111625,success,0.07873344421386719,0.007959902286529541,0.022657454013824463,20.269426345825195,20.190692901611328,0.6456999778747559,0.6377400755882263,0.49173033237457275,0.5143877863883972,0.005083799362182617,-207050,-70.29754209518433,1.8413084812479656,1.181155952824815,1.4299999938913033
morice,model_mlp_20260710_205501_final_offline_data_june_27-training-data-mlp,morice_phase2_run1_27-training-_20260711_112745,success,0.03174591064453125,0.0026537179946899414,0.006821960210800171,28.526243209838867,28.494497299194336,0.802736222743988,0.8000825047492981,0.2671422064304352,0.27396416664123535,-0.00024472177028656006,-228392,-47.7333722114563,1.6478653521134985,1.0570667535447724,1.43
morice,model_ridge_20260710_203218_final_offline_data_june_27-training-data-ridge,morice_phase2_run1_27-training-_20260711_113905,success,0.2194232940673828,0.017355680465698242,0.03532785177230835,28.71392059326172,28.494497299194336,0.8174381852149963,0.8000825047492981,0.238636314868927,0.27396416664123535,-0.00024805590510368347,-57627,2.4304823875427246,2.0574599129471225,1.181155952824815,1.4299999938913033
uncovice,model_mlp_20260710_205501_final_offline_data_june_27-training-data-mlp,uncovice_phase2_run1_27-training-_20260711_115117,success,-0.4169483184814453,-0.005799055099487305,-0.013247370719909668,22.230300903320312,22.647249221801758,0.6527457237243652,0.6585447788238525,0.5257878303527832,0.5125404596328735,0.007943250238895416,-125895,-24.56674885749817,1.319812003075138,1.0570667535447724,1.43
uncovice,model_ridge_20260710_203218_final_offline_data_june_27-training-data-ridge,uncovice_phase2_run1_27-training-_20260711_120210,success,-0.5197105407714844,-0.006996333599090576,-0.0026374459266662598,22.127538681030273,22.647249221801758,0.651548445224762,0.6585447788238525,0.5151779055595398,0.5125404596328735,0.019281603395938873,-78725,-14.84137773513794,2.2989853881058138,1.181155952824815,1.4299999938913033
12-Maisonneuve Market,model_compact-ridge_20260712_131550_final_offline_data_june_27-training-data-compact-ridge,12_maisonneuve_market_phase2_run1_27-training-_20260712_145054,success,0.003894805908203125,-0.001925349235534668,0.001848071813583374,17.102155685424805,17.0982608795166,0.651328444480896,0.6532537937164307,0.47210851311683655,0.4739565849304199,0.007623352110385895,-79017,-1.423851490020752,1.4747448768733287,1.0570667549471469,1.4299999938913033
4-Thomas-More-Church,model_compact-ridge_20260712_131550_final_offline_data_june_27-training-data-compact-ridge,4_thomas_more_church_phase2_run1_27-training-_20260712_151440,success,-0.16714096069335938,0.005073368549346924,0.00757598876953125,21.700300216674805,21.867441177368164,0.785186767578125,0.7801133990287781,0.2944187819957733,0.30199477076530457,-0.015377052128314972,-154201,16.389382123947144,1.4747448768733287,1.181155952824815,1.4299999938913033
Brasov,model_compact-ridge_20260712_131550_final_offline_data_june_27-training-data-compact-ridge,brasov_phase2_run1_27-training-_20260712_153719,success,0.16900253295898438,0.014368414878845215,0.026197731494903564,23.53123664855957,23.362234115600586,0.8166520595550537,0.8022836446762085,0.1663448065519333,0.19254253804683685,-0.0005629844963550568,-440540,5.774930000305176,2.0574599129471225,1.0570667549471469,1.4299999938913033
Changu,model_compact-ridge_20260712_131550_final_offline_data_june_27-training-data-compact-ridge,changu_phase2_run1_27-training-_20260712_163709,success,0.15415573120117188,0.024268507957458496,0.054732829332351685,20.13450813293457,19.9803524017334,0.6463725566864014,0.6221040487289429,0.46340522170066833,0.51813805103302,0.012988761067390442,895273,154.32263708114624,1.6478653614491223,1.3198119970798372,0.7000000027571127
Chatteau_circle_60_and_45_degrees,model_compact-ridge_20260712_131550_final_offline_data_june_27-training-data-compact-ridge,chatteau_circle_60_and_45_degrees_phase2_run1_27-training-_20260712_171450,success,0.3022003173828125,0.08493208885192871,0.19725918769836426,23.677627563476562,23.37542724609375,0.6524050235748291,0.5674729347229004,0.25201237201690674,0.449271559715271,-0.03324203938245773,1893738,344.00287342071533,2.0574599129471225,1.4747448768733287,0.7000000027571127
Kninice_Church_of_the_Exaltation_of_the_Holy_Cross,model_compact-ridge_20260712_131550_final_offline_data_june_27-training-data-compact-ridge,kninice_church_of_the_exaltation_of_the_holy_cross_phase2_run1_27-training-_20260712_182523,success,0.3818855285644531,0.024954259395599365,0.05832874774932861,21.324846267700195,20.942960739135742,0.707495391368866,0.6825411319732666,0.3952225148677826,0.4535512626171112,-0.009550191462039948,427686,73.0513288974762,1.8413084812479656,1.181155952824815,0.7000000027571127
Pix4d_forensic,model_compact-ridge_20260712_131550_final_offline_data_june_27-training-data-compact-ridge,pix4d_forensic_phase2_run1_27-training-_20260712_184530,success,1.0008583068847656,0.14887738227844238,0.2320324182510376,24.92041778564453,23.919559478759766,0.6699469089508057,0.5210695266723633,0.41693973541259766,0.6489721536636353,-0.02554183453321457,1964721,209.02590203285217,1.6478653614491223,1.6478653614491223,0.7000000027571127
Telc_sv_Jakub_March_18,model_compact-ridge_20260712_131550_final_offline_data_june_27-training-data-compact-ridge,telc_sv_jakub_march_18_phase2_run1_27-training-_20260712_190853,success,0.3510856628417969,0.03570073843002319,0.07505500316619873,21.4901065826416,21.139020919799805,0.7431781888008118,0.7074774503707886,0.3567849099636078,0.4318399131298065,0.0005264505743980408,1545595,215.6853804588318,1.6478653614491223,1.3198119970798372,0.7000000027571127
Tiburon_Angel_Islands_State_Park_Split_group_3,model_compact-ridge_20260712_131550_final_offline_data_june_27-training-data-compact-ridge,tiburon_angel_islands_state_park_split_group_3_phase2_run1_27-training-_20260712_193351,success,0.05303955078125,0.037158071994781494,0.07634139060974121,20.243732452392578,20.190692901611328,0.6748981475830078,0.6377400755882263,0.438046395778656,0.5143877863883972,-0.010024063289165497,1462700,164.44246363639832,1.6478653614491223,1.181155952824815,0.7000000027571127
morice,model_compact-ridge_20260712_131550_final_offline_data_june_27-training-data-compact-ridge,morice_phase2_run1_27-training-_20260712_200114,success,0.8579254150390625,0.057201266288757324,0.10490544140338898,29.3524227142334,28.494497299194336,0.8572837710380554,0.8000825047492981,0.16905872523784637,0.27396416664123535,-0.008063506335020065,1961839,284.7324471473694,1.6478653614491223,1.3198119970798372,0.7000000027571127
uncovice,model_compact-ridge_20260712_131550_final_offline_data_june_27-training-data-compact-ridge,uncovice_phase2_run1_27-training-_20260712_203054,success,0.13019180297851562,0.043051719665527344,0.09257125854492188,22.777441024780273,22.647249221801758,0.7015964984893799,0.6585447788238525,0.41996920108795166,0.5125404596328735,0.026787571609020233,1031514,137.3513379096985,1.6478653614491223,1.6478653614491223,0.7000000027571127
DJI_202402171501_006_KTM20-oblique,model_compact-ridge_20260712_131550_final_offline_data_june_27-training-data-compact-ridge,dji_202402171501_006_ktm20_oblique_phase2_run1_27-training-_20260712_230432,success,-0.08631134033203125,0.027519166469573975,0.06900076568126678,22.58514976501465,22.67146110534668,0.7724666595458984,0.7449474930763245,0.24005325138568878,0.30905401706695557,-0.0023352429270744324,3293891,1696.1563816070557,2.568863543154017,1.181155952824815,0.7000000027571127
